17/12/2022 03:03:11PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.08326397091150284 | Price: 0.87 |
17/12/2022 03:03:17PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07339584827423096 | Price: 0.87 |
17/12/2022 03:03:23PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.08295463770627975 | Price: 0.87 |
17/12/2022 03:03:29PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07964860647916794 | Price: 0.88 |
17/12/2022 03:03:35PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.08461277186870575 | Price: 0.89 |
17/12/2022 03:04:07PM | Item: SCAR-20 | Assault (Field-Tested) | Float: 0.1620977222919464 | Price: 0.38 |
17/12/2022 03:08:01PM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.12001795321702957 | Price: 0.81 |
17/12/2022 03:13:13PM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.17069268226623535 | Price: 0.38 |
17/12/2022 03:33:11PM | Item: Sawed-Off | Spirit Board (Field-Tested) | Float: 0.18000993132591248 | Price: 0.38 |
17/12/2022 03:38:15PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.23401454091072083 | Price: 0.43 |
17/12/2022 03:38:24PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.2374134063720703 | Price: 0.4 |
17/12/2022 03:38:31PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.2124912291765213 | Price: 0.42 |
17/12/2022 03:38:36PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.18138425052165985 | Price: 0.42 |
17/12/2022 03:38:41PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.1607179343700409 | Price: 0.43 |
17/12/2022 03:38:47PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.21915937960147858 | Price: 0.43 |
17/12/2022 03:39:01PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.07350084185600281 | Price: 0.88 |
17/12/2022 03:42:51PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.0809250995516777 | Price: 0.87 |
17/12/2022 03:42:57PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07339584827423096 | Price: 0.87 |
17/12/2022 03:43:03PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07964860647916794 | Price: 0.88 |
17/12/2022 03:48:09PM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.1756988763809204 | Price: 0.38 |
17/12/2022 03:48:16PM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.1811732053756714 | Price: 0.38 |
17/12/2022 03:52:38PM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.16678079962730408 | Price: 0.37 |
17/12/2022 03:52:44PM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.17275728285312653 | Price: 0.37 |
17/12/2022 03:52:50PM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.16273753345012665 | Price: 0.37 |
17/12/2022 03:53:05PM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.16417847573757172 | Price: 0.37 |
17/12/2022 03:53:20PM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.17830441892147064 | Price: 0.37 |
17/12/2022 04:03:09PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24550098180770874 | Price: 0.43 |
17/12/2022 04:03:28PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.08040586858987808 | Price: 0.86 |
17/12/2022 04:07:50PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.07339584827423096 | Price: 0.87 |
17/12/2022 04:08:25PM | Item: SCAR-20 | Assault (Field-Tested) | Float: 0.16579395532608032 | Price: 0.38 |
17/12/2022 04:23:07PM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.17494656145572662 | Price: 0.38 |
17/12/2022 04:23:22PM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.16967043280601501 | Price: 0.37 |
17/12/2022 04:23:27PM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.17275728285312653 | Price: 0.37 |
17/12/2022 04:28:22PM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.1622038334608078 | Price: 0.37 |
17/12/2022 04:28:28PM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.1837628334760666 | Price: 0.37 |
17/12/2022 04:38:11PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.20373043417930603 | Price: 0.42 |
17/12/2022 04:38:21PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.16371381282806396 | Price: 0.4 |
17/12/2022 04:38:32PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.08005484193563461 | Price: 0.86 |
17/12/2022 04:38:41PM | Item: Glock-18 | Death Rattle (Minimal Wear) | Float: 0.08022706210613251 | Price: 0.86 |
17/12/2022 04:43:19PM | Item: FAMAS | Decommissioned (Field-Tested) | Float: 0.17507678270339966 | Price: 0.38 |
18/12/2022 02:10:56AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24129706621170044 | Price: 0.43 |
18/12/2022 02:12:08AM | Item: Tec-9 | Flash Out (Field-Tested) | Float: 0.15614427626132965 | Price: 0.37 |
18/12/2022 02:12:48AM | Item: M249 | System Lock (Field-Tested) | Float: 0.26700446009635925 | Price: 0.66 |
18/12/2022 02:12:53AM | Item: M249 | System Lock (Field-Tested) | Float: 0.28268325328826904 | Price: 0.66 |
18/12/2022 02:12:59AM | Item: M249 | System Lock (Field-Tested) | Float: 0.24396979808807373 | Price: 0.66 |
18/12/2022 02:13:05AM | Item: M249 | System Lock (Field-Tested) | Float: 0.222845658659935 | Price: 0.66 |
18/12/2022 02:13:13AM | Item: SCAR-20 | Grotto (Field-Tested) | Float: 0.20685188472270966 | Price: 0.64 |
18/12/2022 02:13:26AM | Item: P250 | Ripple (Minimal Wear) | Float: 0.09556592255830765 | Price: 0.82 |
18/12/2022 02:26:55AM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.17345395684242249 | Price: 0.38 |
18/12/2022 02:47:33AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24533085525035858 | Price: 0.43 |
18/12/2022 02:47:43AM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.2439945489168167 | Price: 0.43 |
18/12/2022 02:56:53AM | Item: Dual Berettas | Elite 1.6 (Field-Tested) | Float: 0.15993644297122955 | Price: 0.38 |
18/12/2022 02:57:09AM | Item: M249 | System Lock (Field-Tested) | Float: 0.222845658659935 | Price: 0.66 |
